scrape_date,name,brand,category,fragrantica_url,year,rating,votes,gender,fragrance_family,main_accords,perfumers,top_notes,middle_notes,base_notes,votes_love,votes_like,votes_ok,votes_dislike,votes_hate,season_spring,season_summer,season_fall,season_winter,wear_day,wear_night
2026-04-14,Sauvage,Dior,designer,https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html,,3.86,31880,male,Aromatic Fougere,"fresh spicy, amber, citrus, aromatic, musky, woody, lavender, herbal, warm spicy","Perfumers, Perfumers, François Demachy","Calabrian bergamot, Pepper","Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geranium, elemi","Ambroxan, Cedar, Labdanum",12400,10300,3200,4300,1700,14200.0,13200.0,13200.0,9600.0,14100.0,12800.0
2026-04-14,Sauvage Elixir,Dior,designer,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,,4.31,17772,male,Aromatic,"warm spicy, fresh spicy, woody, aromatic, lavender, soft spicy, cinnamon, amber, powdery, balsamic","Perfumers, Perfumers, François Demachy","Nutmeg, Cinnamon, Cardamom, Grapefruit",Lavender,"Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver",11300,3400,1300,1000,809,5900.0,2400.0,10200.0,11600.0,5400.0,10500.0
2026-04-14,Sauvage EDP,Dior,designer,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-de-Parfum-48100.html,,4.21,13727,male,Oriental Fougere,"fresh spicy, citrus, amber, lavender, musky, aromatic, herbal, anis, soft spicy, floral","Perfumers, Perfumers, François Demachy",Bergamot,"Sichuan Pepper, Lavender, Star Anise, Nutmeg","Ambroxan, Vanilla",7100,4100,1100,994,371,7300.0,6000.0,7400.0,6800.0,6900.0,7300.0
2026-04-14,Oud Ispahan,Dior,designer,https://www.fragrantica.com/perfume/Dior/Oud-Ispahan-15231.html,,4.08,2578,unisex,Oriental Floral,"oud, rose, woody, warm spicy, amber, patchouli, balsamic, floral, powdery","Perfumers, Perfumers, François Demachy",Labdanum,"Rose, Patchouli, Saffron","Agarwood (Oud), Sandalwood, Cedar",1300,701,163,322,95,355.0,169.0,819.0,964.0,427.0,922.0
2026-04-14,Fahrenheit,Dior,designer,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html,,4.0,22012,male,Aromatic Fougere,"leather, woody, ozonic, fresh spicy, aromatic, animalic, aquatic, floral, citrus, green","Perfumers, Perfumers, Jean-Louis Sieuzac, Maurice Roger, Michel Almairac","Nutmeg Flower, Lavender, Cedar, Mandarin Orange, Chamomile, Bergamot, Hawthorn, Lemon","Violet Leaf, Nutmeg, Cedar, Sandalwood, Carnation, Honeysuckle, Jasmine, Lily-of-the-Valley","Leather, Vetiver, Musk, Amber, Patchouli, Tonka Bean",10600,6100,984,3300,976,4400.0,2200.0,7900.0,8000.0,5500.0,7900.0
2026-04-14,Dior Homme Intense 2025,Dior,designer,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2025-101596.html,,4.1,1803,male,Oriental Woody,"iris, woody, powdery, musky, violet, floral, earthy","Perfumers, Perfumers",Tuscan Iris,Ambrette,Virginia Cedar,1100,329,133,86,192,423.0,132.0,861.0,957.0,435.0,848.0
2026-04-14,Miss Dior EDP 2021,Dior,designer,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Eau-de-Parfum-2021--68905.html,,3.89,6630,female,Oriental Floral,"powdery, vanilla, rose, floral, fruity, sweet, fresh, iris, musky, amber","Perfumers, Perfumers, François Demachy","Iris, Peony, Lily-of-the-Valley","Rose, Apricot, Peach","Vanilla, Musk, Tonka Bean, Sandalwood, Benzoin",2400,2200,1100,711,195,2700.0,1600.0,1600.0,1200.0,2600.0,1000.0
2026-04-14,J'adore,Dior,designer,https://www.fragrantica.com/perfume/Dior/J-adore-210.html,,3.8,28776,female,Floral Fruity,"white floral, floral, fruity, sweet, fresh, citrus, aquatic, powdery, ozonic, tuberose","Perfumers, Perfumers, Calice Becker","Pear, Melon, Magnolia, Peach, Mandarin Orange, Bergamot","Jasmine, Lily-of-the-Valley, Tuberose, Freesia, Rose, Orchid, Violet, Plum","Musk, Vanilla, Cedar, Blackberry",9000,11600,2000,5700,488,8100.0,4900.0,5800.0,4200.0,8700.0,5500.0
2026-04-14,Ambre Nuit,Dior,designer,https://www.fragrantica.com/perfume/Dior/Ambre-Nuit-48395.html,,4.38,2017,unisex,Oriental,"amber, rose, floral, animalic, powdery","Perfumers, Perfumers, François Demachy","Amber, Turkish Rose",,,1200,542,147,101,27,549.0,262.0,901.0,839.0,558.0,845.0
2026-04-14,Gris Dior,Dior,designer,https://www.fragrantica.com/perfume/Dior/Gris-Dior-48387.html,,4.21,3547,unisex,Floral,"woody, earthy, mossy, rose, patchouli, citrus, warm spicy, amber, powdery, floral","Perfumers, Perfumers, François Demachy","Oakmoss, Rose, Patchouli, Bergamot, Cedar, Amber, Sandalwood",,,1800,1100,381,201,95,1400.0,960.0,1400.0,1000.0,1400.0,1000.0
2026-04-14,Aventus,Creed,designer,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,,4.32,26304,male,Chypre Fruity,"fruity, sweet, woody, leather, citrus, smoky, musky, tropical, fresh, mossy","Perfumers, Perfumers, Erwin Creed, Jean-Christophe Hérault","Bergamot, Black Currant, Apple, Lemon, Pink Pepper","Pineapple, Patchouli, Moroccan Jasmine","Birch, Musk, oak moss, Cedarwood, Ambroxan",15500,6600,1900,1700,574,12100.0,12400.0,9300.0,5500.0,12400.0,8500.0
2026-04-14,Silver Mountain Water,Creed,designer,https://www.fragrantica.com/perfume/Creed/Silver-Mountain-Water-472.html,,4.16,10431,unisex,Aromatic,"citrus, green, fruity, musky, woody, aromatic, powdery, fresh spicy, fresh, floral","Perfumers, Perfumers, Olivier Creed, Pierre Bourdon","Bergamot, Mandarin Orange","Green Tea, Black Currant","Musk, Sandalwood, Petitgrain, Galbanum",5000,3400,987,918,158,4600.0,4600.0,1600.0,990.0,4600.0,1200.0
2026-04-14,Green Irish Tweed,Creed,designer,https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html,,4.3,11635,male,Woody Floral Musk,"ozonic, aquatic, iris, powdery, woody, amber, animalic, violet, balsamic, green","Perfumers, Perfumers, Olivier Creed, Pierre Bourdon","Iris, Vervain",Violet Leaf,"Ambergris, Sandalwood",6700,3100,764,973,171,5800.0,4800.0,3500.0,1400.0,5500.0,2400.0
2026-04-14,Millesime Imperial,Creed,designer,https://www.fragrantica.com/perfume/Creed/Millesime-Imperial-466.html,,4.23,7077,unisex,Woody Floral Musk,"marine, citrus, salty, fruity, aromatic, powdery, musky, sweet, woody, iris","Perfumers, Perfumers, Olivier Creed, Pierre Bourdon","Sea Salt, Fruity Notes","Sicilian Lemon, Bergamot, Iris, Mandarin Orange","Sea Notes, Musk, Woody Notes",3600,2200,553,592,81,2700.0,3400.0,874.0,361.0,3200.0,944.0
2026-04-14,Viking,Creed,designer,https://www.fragrantica.com/perfume/Creed/Viking-41698.html,,3.96,4101,male,Woody Aromatic,"aromatic, fresh spicy, green, citrus, soft spicy, lavender, woody, rose, musky, warm spicy","Perfumers, Perfumers, Olivier Creed","Pink Pepper, Peppermint, Bergamot, Lemon, Absinthe, Orange","Lavender, Bulgarian Rose, Clove, Allspice, Orris Root, Jasmine","Vetiver, Cedar, White Musk, Tonka Bean",1800,1200,457,572,108,1700.0,1200.0,1700.0,1300.0,1800.0,1200.0
2026-04-14,Aventus Cologne,Creed,designer,https://www.fragrantica.com/perfume/Creed/Aventus-Cologne-51692.html,,4.33,3239,male,Aromatic Fruity,"citrus, woody, musky, leather, fresh spicy, powdery, smoky, aromatic, earthy, sweet","Perfumers, Perfumers, Olivier Creed","Mandarin Orange, Ginger, Pink Pepper, Bergamot, Spearmint","Vetiver, Patchouli, Sandalwood, Ozonic notes","Musk, Birch, Tonka Bean, Styrax, Cedar",1900,798,230,224,56,1600.0,1800.0,860.0,304.0,1700.0,697.0
2026-04-14,Royal Oud,Creed,designer,https://www.fragrantica.com/perfume/Creed/Royal-Oud-12317.html,,4.36,5496,unisex,Oriental Fougere,"woody, musky, powdery, citrus, aromatic, soft spicy, oud, green, amber","Perfumers, Perfumers, Julien Rasquinet, Olivier Creed","Pink Pepper, Lemon, Sicilian Bergamot","Cedar, Angelica, Galbanum","Sandalwood, Agarwood (Oud), Musk",3300,1500,310,404,59,1700.0,695.0,2400.0,2200.0,1800.0,2100.0
2026-04-14,Wind Flowers,Creed,designer,https://www.fragrantica.com/perfume/Creed/Wind-Flowers-70182.html,,3.61,1017,female,Floral,"white floral, sweet, powdery, musky, tuberose, rose, woody, iris, animalic, fruity","Perfumers, Perfumers, Olivier Creed","Jasmine, Orange Blossom, Peach","Jasmine Sambac, Tuberose, Rose","Musk, Orange Blossom, Praline, Iris, Sandalwood",317,278,201,153,68,350.0,271.0,174.0,100.0,332.0,133.0
2026-04-14,Le Male,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html,,4.0,24153,female,Oriental Fougere,"aromatic, vanilla, fresh spicy, lavender, warm spicy, green, powdery, sweet, amber, woody","Perfumers, Perfumers, Francis Kurkdjian","Lavender, Mint, Cardamom, Bergamot, Artemisia","Cinnamon, Orange Blossom, Caraway","Vanilla, Tonka Bean, Amber, Sandalwood, Cedar",9800,8800,1900,3200,458,8500.0,5600.0,9400.0,9600.0,9100.0,9500.0
2026-04-14,Ultra Male,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html,,4.45,16731,male,Oriental Fougere,"vanilla, fruity, aromatic, sweet, cinnamon, warm spicy, fresh spicy, lavender, powdery, green","Perfumers, Perfumers, Francis Kurkdjian","Pear, Lavender, Mint, Bergamot, Lemon","Cinnamon, Clary Sage, Caraway","Black Vanilla Husk, Amber, Patchouli, Cedar",10700,4100,828,871,202,5600.0,2700.0,9200.0,10400.0,4000.0,10400.0
2026-04-14,Le Male Le Parfum,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,,4.6,25603,male,Oriental,"warm spicy, vanilla, lavender, aromatic, powdery, iris, woody, amber, violet","Perfumers, Perfumers, Natalie Gracia-Cetto, Quentin Bisch",Cardamom,"Lavender, Iris","Vanilla, Oriental notes, Woodsy Notes",18800,4600,1200,577,377,7900.0,2800.0,16200.0,18800.0,7200.0,16800.0
2026-04-14,Classique,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-427.html,,3.92,12440,female,Oriental Floral,"white floral, sweet, powdery, citrus, vanilla, soft spicy, floral, anis, woody, yellow floral","Perfumers, Perfumers, Jacques Cavallier Belletrud","Orange Blossom, Star Anise, Rose, Mandarin Orange, Pear, Bergamot","Ylang-Ylang, Ginger, Orchid, Tuberose, Iris, Plum","Vanilla, Amber, Musk, Cinnamon, Sandalwood",4700,4700,507,2300,169,1700.0,1100.0,3100.0,3300.0,2400.0,3500.0
2026-04-14,Classique Autumn Winter,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Autumn-Winter-2844.html,,4.22,32,female,Oriental Floral,"soft spicy, anis, rose, white floral, vanilla, floral, powdery, citrus, fresh spicy, amber","Perfumers, Perfumers","Star Anise, Rose","African Orange Flower, Ginger","Vanilla, Amber",13,16,0,3,0,3.0,3.0,6.0,12.0,7.0,12.0
2026-04-14,Classique Intense Collector Glam,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Intense-Collector-Glam-Edition-32041.html,,4.07,27,female,Oriental Floral,"white floral, woody, vanilla, fruity, sweet","Perfumers, Perfumers","Pomegranate, Tiare Flower","Orange Blossom, Jasmine, Rose","Vanilla, Patchouli",16,5,0,4,2,2.0,1.0,6.0,5.0,3.0,10.0
2026-04-14,Scandal Pour Homme,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-68074.html,,4.27,6998,male,Oriental Woody,"caramel, aromatic, sweet, citrus, vanilla, amber, soft spicy, woody","Perfumers, Perfumers, Christophe Raynaud, Natalie Gracia-Cetto, Quentin Bisch","Mandarin Orange, Clary Sage","Caramel, Tonka Bean",Vetiver,3900,1900,641,365,193,2300.0,947.0,4000.0,4400.0,2100.0,4100.0
2026-04-14,Le Male Elixir,Jean Paul Gaultier,designer,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,,4.52,23518,male,Oriental Fougere,"vanilla, sweet, honey, aromatic, amber, lavender, tobacco, green, fresh spicy, powdery","Perfumers, Perfumers, Quentin Bisch","Lavender, Mint","Vanilla, Benzoin","Honey, Tonka Bean, Tobacco",16800,4100,1300,746,579,5000.0,2300.0,14000.0,18000.0,6500.0,14900.0
2026-04-14,Black Afgano,Nasomatto,designer,https://www.fragrantica.com/perfume/Nasomatto/Black-Afgano-6472.html,,4.06,12067,unisex,Woody Aromatic,"amber, smoky, woody, oud, cannabis, balsamic, green, aromatic, warm spicy, tobacco","Perfumers, Perfumers, Alessandro Gualtieri","cannabis, Green Notes, Davana, Saffron, Thyme","Resins, Woodsy Notes, Tobacco, Coffee, Cinnamon, Violet, Raspberry","Agarwood (Oud), Incense, Amber, Animal notes, Guaiac Wood, Musk, Tonka, Cedar, Gurjan balsam, Ambroxan, Vanilla",5900,3400,888,1400,516,1500.0,855.0,4400.0,5000.0,1800.0,4800.0
2026-04-14,Pardon,Nasomatto,designer,https://www.fragrantica.com/perfume/Nasomatto/Pardon-12130.html,,4.27,4207,male,fragrance for men. Pardon was launched in 2011. The nose behind this,"warm spicy, oud, chocolate, woody, sweet, floral, cinnamon, vanilla, powdery, cacao","Perfumers, Perfumers, Alessandro Gualtieri","Magnolia, Flowers","Dark Chocolate, Tonka Bean, Cinnamon","Agarwood (Oud), Sandalwood",2300,1200,341,305,56,688.0,234.0,1800.0,1900.0,996.0,1700.0
2026-04-14,Duro,Nasomatto,designer,https://www.fragrantica.com/perfume/Nasomatto/Duro-4291.html,,4.2,2991,male,Woody Chypre,"woody, leather, warm spicy, animalic, smoky","Perfumers, Perfumers, Alessandro Gualtieri","Woodsy Notes, Leather, Spices",,,1500,972,274,245,37,504.0,190.0,1200.0,1100.0,670.0,1100.0
2026-04-14,China White,Nasomatto,designer,https://www.fragrantica.com/perfume/Nasomatto/China-White-4290.html,,3.92,1554,female,Floral Woody Musk,"powdery, floral, musky, woody, rose","Perfumers, Perfumers, Alessandro Gualtieri","Powdery Notes, Musk, Woodsy Notes, Floral Notes, Rose",,,570,584,147,214,39,383.0,188.0,419.0,316.0,413.0,298.0
2026-04-14,Narcotic Venus,Nasomatto,designer,https://www.fragrantica.com/perfume/Nasomatto/Narcotic-Venus-4292.html,,4.1,4299,female,Floral,"white floral, tuberose, animalic, green, soft spicy","Perfumers, Perfumers, Alessandro Gualtieri","Tuberose, Lily, Jasmine, Spices",,,1900,1500,368,446,71,1400.0,926.0,871.0,591.0,1200.0,856.0
2026-04-14,Baraonda,Nasomatto,designer,https://www.fragrantica.com/perfume/Nasomatto/Baraonda-40200.html,,4.42,5818,unisex,Oriental Woody,"woody, whiskey, musky, rose, floral, amber, warm spicy","Perfumers, Perfumers, Alessandro Gualtieri","Whiskey, Woody Notes, Ambrette (Musk Mallow), Rose, Ambroxan, Musk",,,3600,1500,363,310,65,997.0,471.0,2600.0,2500.0,1100.0,2300.0
