scrape_date,country,currency,name,brand,category,price_raw,bottle_size_raw,amazon_rating_raw,amazon_reviews_raw,amazon_title_raw,amazon_url,availability
2026-04-14,USA,USD,Sauvage,Dior,designer,,,4.5 out of 5 stars,,"Christian Dior Sauvage Eau De Toilette Spray for Men, 3.4 Fluid Ounce",https://www.amazon.com/s?k=Dior+Sauvage,unavailable
2026-04-14,USA,USD,Sauvage Elixir,Dior,designer,$173.75,2.0 oz,4.6 out of 5 stars,,Sauvage Elixir by Christian Dior for Men 2.0 oz Parfum Concentre Spray,https://www.amazon.com/s?k=Dior+Sauvage+Elixir,in_stock
2026-04-14,USA,USD,Sauvage EDP,Dior,designer,$149.90,,4.3 out of 5 stars,,"Christian Dior Eau Sauvage Parfum Spray for Men, 3.4 Ounce",https://www.amazon.com/s?k=Dior+Sauvage+Parfum,in_stock
2026-04-14,USA,USD,Fahrenheit,Dior,designer,$93.99,3.4 Oz,4.6 out of 5 stars,,"Fahrenheit By Christian Dior For Men. Eau De Toilette Spray Red, 3.4 Oz.",https://www.amazon.com/s?k=Dior+Fahrenheit,in_stock
2026-04-14,USA,USD,Dior Homme Intense 2025,Dior,designer,$175.40,100ml,4.1 out of 5 stars,,Christian Dior Dior Homme Intense Eau De Parfum Spray (New Version) 100ml/3.4oz,https://www.amazon.com/s?k=Dior+Homme+Intense,in_stock
2026-04-14,USA,USD,Miss Dior EDP 2021,Dior,designer,$149.90,3.4 oz,4.6 out of 5 stars,,Christian Dior MISS DIOR - EDT SPR 3.4 oz / 100 ml,https://www.amazon.com/s?k=Dior+Miss+Dior+Eau+de+Parfum,in_stock
2026-04-14,USA,USD,J'adore,Dior,designer,$168.74,,4.3 out of 5 stars,,"Christian Dior Jadore, 3.4 Fluid Ounce",https://www.amazon.com/s?k=Dior+Jadore,in_stock
2026-04-14,USA,USD,Gris Dior,Dior,designer,$104.69,,4.2 out of 5 stars,,"CHRISTIAN DIOR Addict Dior Eau de Toilette Splash, 1.7 Ounce",https://www.amazon.com/s?k=Dior+Gris+Dior,in_stock
2026-04-14,USA,USD,Viking,Creed,designer,$21.99,,4.8 out of 5 stars,,"2pcs Big Size Vikings Valhalla Edition Auto Emblems Truck Badge 3D Car Bumper Sticker Assassin's Creed Valhalla Edition Emblem 3D Badges Decals Car Replacement, Viking Seasons (Matte Black)",https://www.amazon.com/s?k=Creed+Viking,in_stock
2026-04-14,USA,USD,Le Male,Jean Paul Gaultier,designer,$77.68,4.2 oz,4.6 out of 5 stars,,Le Male by Jean Paul Gaultier for Men 4.2 oz Eau de Toilette Spray,https://www.amazon.com/s?k=Jean+Paul+Gaultier+Le+Male,in_stock
2026-04-14,USA,USD,Ultra Male,Jean Paul Gaultier,designer,$95.44,4.2 oz,4.7 out of 5 stars,,Ultra Male by Jean Paul Gaultier for Men 4.2 oz Eau de Toilette Intense Spray,https://www.amazon.com/s?k=Jean+Paul+Gaultier+Ultra+Male,in_stock
2026-04-14,USA,USD,Le Male Le Parfum,Jean Paul Gaultier,designer,$105.90,125 ml,,,Jean Paul Gaultler Les Males De Le Beau Le Parfum Eau De Parfum Intense 125 ml / 4.2 oz Parallel Import,https://www.amazon.com/s?k=Jean+Paul+Gaultier+Le+Male+Le+Parfum,in_stock
2026-04-14,USA,USD,Classique,Jean Paul Gaultier,designer,$78.00,3.4 oz,4.6 out of 5 stars,,Classique by Jean Paul Gaultier for Women - 3.4 oz EDT Spray,https://www.amazon.com/s?k=Jean+Paul+Gaultier+Classique,in_stock
2026-04-14,USA,USD,Scandal Pour Homme,Jean Paul Gaultier,designer,$84.29,1.7 oz,4.6 out of 5 stars,,Scandal Pour Homme Le Parfum by Jean Paul Gaultier 1.7 oz Eau de Parfum Intense Spray,https://www.amazon.com/s?k=Jean+Paul+Gaultier+Scandal+Pour+Homme,in_stock
2026-04-14,USA,USD,Bleu de Chanel,Chanel,designer,$128.00,,4.5 out of 5 stars,,CHANEL,https://www.amazon.com/s?k=Chanel+Bleu+de+Chanel,in_stock
2026-04-14,USA,USD,Coco Mademoiselle,Chanel,designer,$149.91,5 oz,4.5 out of 5 stars,,Coco Mademoiselle by Chanel for Women - 5 oz Fresh Body Cream,https://www.amazon.com/s?k=Chanel+Coco+Mademoiselle,in_stock
2026-04-14,USA,USD,Lost Cherry,Tom Ford,designer,$349.99,1 oz,4.4 out of 5 stars,,Lost Cherry by Tom Ford for Unisex - 1 oz EDP Spray,https://www.amazon.com/s?k=Tom+Ford+Lost+Cherry,in_stock
2026-04-14,USA,USD,Tuscan Leather,Tom Ford,designer,$139.52,3.4 oz,4.4 out of 5 stars,,Eau Dombre Leather by Tom Ford for Men - 3.4 oz EDT Spray,https://www.amazon.com/s?k=Tom+Ford+Tuscan+Leather,in_stock
2026-04-14,USA,USD,Pour Femme Dylan Blue,Versace,designer,$119.70,,5.0 out of 5 stars,,Gif Set Dylan Purple pour femme by Versace,https://www.amazon.com/s?k=Versace+Pour+Femme+Dylan+Blue,in_stock
2026-04-14,USA,USD,Bright Crystal,Versace,designer,$49.45,1.7 Oz,4.4 out of 5 stars,,Bright Crystal/Versace EDT Spray 1.7 Oz (W),https://www.amazon.com/s?k=Versace+Bright+Crystal,in_stock
2026-04-14,USA,USD,Black Opium,Yves Saint Laurent,designer,$109.98,2.5 Oz,4.5 out of 5 stars,,Black Opium Illicit Green By Yves Saint Laurent Eau De Parfum Spray 2.5 Oz,https://www.amazon.com/s?k=Yves+Saint+Laurent+Black+Opium,in_stock
2026-04-14,USA,USD,Good Girl,Carolina Herrera,designer,$109.00,2.7 oz,4.7 out of 5 stars,,Good Girl Blush Elixir by Carolina Herrera for Women - 2.7 oz EDP Spray,https://www.amazon.com/s?k=Carolina+Herrera+Good+Girl,in_stock
2026-04-14,USA,USD,Vintage Radio,Lattafa,arabic,$33.54,100 ml,4.6 out of 5 stars,,"Lattafa Pride Vintage Radio for Unisex Eau de Parfum Spray, 3.4 Ounce / 100 ml",https://www.amazon.com/s?k=Lattafa+Vintage+Radio,in_stock
2026-04-14,USA,USD,Hawas for Him,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+for+Him,in_stock
2026-04-14,USA,USD,Hawas Ice,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Ice,in_stock
2026-04-14,USA,USD,Egra Men,Rasasi,arabic,$29.16,100ml,4.5 out of 5 stars,,Egra for Men EDP-100ml (3.4 oz) by RASASI,https://www.amazon.com/s?k=Rasasi+Egra+Men,in_stock
2026-04-14,USA,USD,Hawas Black,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Black,in_stock
2026-04-14,USA,USD,Hawas Elixir,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Elixir,in_stock
2026-04-14,USA,USD,Hawas Viper,Rasasi,arabic,$43.51,,4.5 out of 5 stars,,Hawas Malibu by Rasasi,https://www.amazon.com/s?k=Rasasi+Hawas+Viper,in_stock
2026-04-14,USA,USD,Royal Blend Bourbon,French Avenue,arabic,$47.00,100ml,4.1 out of 5 stars,,Royal Blend Bourbon EDP 100ml by French Avenue,https://www.amazon.com/s?k=French+Avenue+Royal+Blend+Bourbon,in_stock
2026-04-14,USA,USD,Vulcan Feu,French Avenue,arabic,$38.98,100ml,4.5 out of 5 stars,,French Avenue Vulcan Feu EDP 100ml,https://www.amazon.com/s?k=French+Avenue+Vulcan+Feu,in_stock
